[    10.390041] S 6Aa 00a P  | DIG2 seg=0x00 ' '
[    10.390041] >>> DISPLAY: "  4 "
[    10.390333] S 6Ca 00a P  | DIG3 seg=0x00 ' '
[    10.390333] >>> DISPLAY: "    "
[    10.390614] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    10.390892] S 4Fa 17a P  | KEY released/idle
[    10.589563] S 68a 06a P  | DIG1 seg=0x06 '1'
[    10.589563] >>> DISPLAY: "1   "
[    10.589841] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    10.589841] >>> DISPLAY: "11  "
[    10.590134] S 6Ca 66a P  | DIG3 seg=0x66 '4'
[    10.590134] >>> DISPLAY: "114 "
[    10.590412] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    10.590692] S 4Fa 17a P  | KEY released/idle
[    10.789306] S 68a 06a P  | DIG1 seg=0x06 '1'
[    10.789584] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    10.789877] S 6Ca 66a P  | DIG3 seg=0x66 '4'
[    10.790156] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    10.790434] S 4Fa 17a P  | KEY released/idle
[    10.989081] S 68a 06a P  | DIG1 seg=0x06 '1'
[    10.989360] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    10.989652] S 6Ca 66a P  | DIG3 seg=0x66 '4'
[    10.989933] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    10.990226] S 4Fa 17a P  | KEY released/idle
[    11.188897] S 68a 06a P  | DIG1 seg=0x06 '1'
[    11.189176] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    11.189470] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    11.189470] >>> DISPLAY: "113 "
[    11.189748] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    11.190040] S 4Fa 17a P  | KEY released/idle
[    11.388621] S 68a 06a P  | DIG1 seg=0x06 '1'
[    11.388899] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    11.389177] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    11.389471] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    11.389749] S 4Fa 17a P  | KEY released/idle
[    11.588431] S 68a 06a P  | DIG1 seg=0x06 '1'
[    11.588709] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    11.588987] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    11.589281] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    11.589559] S 4Fa 17a P  | KEY released/idle
[    11.788232] S 68a 06a P  | DIG1 seg=0x06 '1'
[    11.788525] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    11.788804] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    11.789097] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    11.789375] S 4Fa 17a P  | KEY released/idle
[    11.987986] S 68a 06a P  | DIG1 seg=0x06 '1'
[    11.988278] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    11.988556] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    11.988836] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    11.989128] S 4Fa 17a P  | KEY released/idle
[    12.187770] S 68a 06a P  | DIG1 seg=0x06 '1'
[    12.188048] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    12.188326] S 6Ca 4Fa P  | DIG3 seg=0x4F '3'
[    12.188622] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    12.188900] S 4Fa 17a P  | KEY released/idle
[    12.387549] S 68a 06a P  | DIG1 seg=0x06 '1'
[    12.387842] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    12.388122] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    12.388122] >>> DISPLAY: "112 "
[    12.388413] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    12.388691] S 4Fa 17a P  | KEY released/idle
[    12.587291] S P  | MALFORMED: 0 byte(s), expected 2
[    12.587309] S 68a 06a P  | DIG1 seg=0x06 '1'
[    12.587589] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    12.587866] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    12.588161] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    12.588439] S 4Fa 17a P  | KEY released/idle
[    12.787095] S 68a 06a P  | DIG1 seg=0x06 '1'
[    12.787373] S 6Aa 06a P  | DIG2 seg=0x06 '1'
[    12.787667] S 6Ca 5Ba P  | DIG3 seg=0x5B '2'
[    12.787946] S 6Ea 00a P  | DIG4 seg=0x00 ' '
[    12.788224] S 4Fa 17a P  | KEY released/idle
